id,Name,trN,trN,Entity ID,Number of positions,Track length,Start time,End time,Duration (second),Duration (minutes),Duration (hours),Hour (start),Hour (end)
4173,4173,135,417,33808,29,45.28333371788593,04/04/2007 06:53:15,04/04/2007 08:12:19,4744,79.066666,1.3177778,6,8
4174,4174,136,418,33808,9,14.287997667885685,04/04/2007 09:09:11,04/04/2007 09:55:58,2807,46.783333,0.7797222,9,9
4222,4222,137,421,33960,11,9.87833115770446,04/04/2007 07:15:03,04/04/2007 08:05:04,3001,50.016666,0.83361113,7,8
4223,4223,138,422,33960,10,15.418395594288103,04/04/2007 08:37:35,04/04/2007 09:12:53,2118,35.3,0.5883333,8,9
4274,4274,139,428,34646,35,17.524395227163332,04/04/2007 05:34:50,04/04/2007 06:10:12,2122,35.366665,0.5894444,5,6
4278,4278,140,429,34770,31,15.712949128745988,04/04/2007 08:47:44,04/04/2007 09:03:29,945,15.75,0.2625,8,9
4332,4332,141,435,35013,8,12.054603911637374,04/04/2007 05:34:08,04/04/2007 06:14:31,2423,40.383335,0.6730556,5,6
4397,4397,142,442,35093,4,3.642735751680275,04/04/2007 07:09:37,04/04/2007 07:28:18,1121,18.683332,0.31138888,7,7
4398,4398,143,443,35093,4,3.898820141117778,04/04/2007 08:56:29,04/04/2007 09:11:51,922,15.366667,0.25611112,8,9
4505,4505,144,451,35341,8,11.392746699712845,04/04/2007 05:38:06,04/04/2007 06:15:03,2217,36.95,0.61583334,5,6
4537,4537,145,456,35473,14,18.304344794794876,04/04/2007 05:48:22,04/04/2007 06:52:57,3875,64.583336,1.076389,5,6
4538,4538,146,457,35473,5,7.032084287591282,04/04/2007 10:11:58,04/04/2007 10:27:10,912,15.2,0.25333333,10,10
4572,4572,147,462,35581,4,3.583937403944824,04/04/2007 07:41:49,04/04/2007 07:51:45,596,9.933333,0.16555555,7,7
4573,4573,148,463,35581,5,6.605705765869592,04/04/2007 10:28:41,04/04/2007 10:55:49,1628,27.133333,0.45222223,10,10
4664,4664,149,471,35627,2,4.545701908496535,04/04/2007 08:41:20,04/04/2007 08:56:35,915,15.25,0.25416666,8,8
4729,4729,150,478,36152,10,14.268902524222952,04/04/2007 08:55:21,04/04/2007 09:24:55,1774,29.566668,0.4927778,8,9
4744,4744,151,481,36550,19,21.919067499059135,04/04/2007 07:32:49,04/04/2007 09:07:58,5709,95.15,1.5858333,7,9
4774,4774,152,486,36907,4,5.5022045449207635,04/04/2007 10:36:54,04/04/2007 10:54:24,1050,17.5,0.29166666,10,10
4802,4802,153,489,37047,4,5.391169971771193,04/04/2007 10:49:43,04/04/2007 10:59:48,605,10.083333,0.16805555,10,10
4824,4824,154,490,37058,9,11.400554816453527,04/04/2007 07:01:01,04/04/2007 07:19:04,1083,18.05,0.3008333,7,7
4850,4850,155,493,37077,3,3.916594477730288,04/04/2007 06:34:31,04/04/2007 06:46:26,715,11.916667,0.19861111,6,6
4859,4859,156,496,37109,38,64.40730141967195,04/04/2007 06:01:17,04/04/2007 08:13:25,7928,132.13333,2.202222,6,8
4875,4875,157,498,37122,14,12.98898133697557,04/04/2007 05:04:44,04/04/2007 06:26:12,4888,81.46667,1.3577778,5,6
4921,4921,158,504,37131,6,4.354018074682945,04/04/2007 07:43:09,04/04/2007 08:01:02,1073,17.883333,0.29805556,7,8
4965,4965,159,506,37182,4,7.694649850944684,04/04/2007 10:18:54,04/04/2007 10:45:28,1594,26.566668,0.44277778,10,10
4995,4995,160,508,37241,10,15.110594833389703,04/04/2007 06:09:51,04/04/2007 07:03:44,3233,53.883335,0.8980556,6,7
5014,5014,161,510,37257,11,17.269304486594653,04/04/2007 06:08:09,04/04/2007 06:39:29,1880,31.333334,0.5222222,6,6
5020,5020,162,513,37261,10,14.914471445148285,04/04/2007 08:50:18,04/04/2007 09:33:53,2615,43.583332,0.7263889,8,9
5055,5055,163,517,37364,3,3.912192183206914,04/04/2007 06:27:25,04/04/2007 06:41:14,829,13.816667,0.23027778,6,6
5094,5094,164,519,37594,10,7.453712517083848,04/04/2007 06:03:07,04/04/2007 07:21:03,4676,77.933334,1.2988889,6,7
5122,5122,165,523,37612,7,5.5369965969328,04/04/2007 07:03:17,04/04/2007 07:26:47,1410,23.5,0.39166668,7,7
5149,5149,166,527,37614,6,3.435399149371543,04/04/2007 09:48:13,04/04/2007 10:26:41,2308,38.466667,0.64111114,9,10
5173,5173,167,532,37734,48,20.984309072467696,04/04/2007 09:03:06,04/04/2007 10:46:54,6228,103.8,1.73,9,10
5232,5232,168,536,37809,11,13.904992222662004,04/04/2007 06:46:55,04/04/2007 07:44:43,3468,57.8,0.9633333,6,7
5287,5287,169,542,37896,5,5.591159228977784,04/04/2007 06:03:20,04/04/2007 06:24:02,1242,20.7,0.345,6,6
5293,5293,170,544,37912,95,32.534686973953406,04/04/2007 07:25:48,04/04/2007 08:17:21,3093,51.55,0.8591667,7,8
5371,5371,171,553,38131,44,13.956120417016034,04/04/2007 05:17:56,04/04/2007 05:54:29,2193,36.55,0.6091667,5,5
5517,5517,172,557,38545,6,6.195854360964258,04/04/2007 05:06:21,04/04/2007 05:37:00,1839,30.65,0.5108333,5,5
5566,5566,173,562,38650,7,9.85671878325864,04/04/2007 06:04:35,04/04/2007 06:34:59,1824,30.4,0.50666666,6,6
5577,5577,174,564,38671,8,25.060194785560803,04/04/2007 08:43:46,04/04/2007 09:32:30,2924,48.733334,0.81222224,8,9
5581,5581,175,566,38712,7,8.355730786795224,04/04/2007 07:29:27,04/04/2007 07:55:01,1534,25.566668,0.42611113,7,7
5590,5590,176,568,38730,8,8.079930635604812,04/04/2007 05:04:26,04/04/2007 06:19:59,4533,75.55,1.2591667,5,6
5591,5591,177,569,38730,5,6.8499466885838824,04/04/2007 06:52:10,04/04/2007 07:31:39,2369,39.483334,0.65805554,6,7
5613,5613,178,573,38887,7,10.459873114703193,04/04/2007 05:16:24,04/04/2007 05:54:02,2258,37.633335,0.62722224,5,5
5644,5644,179,577,38920,7,9.941453908079561,04/04/2007 08:59:34,04/04/2007 09:27:02,1648,27.466667,0.4577778,8,9
5657,5657,180,579,38928,13,8.789983514853134,04/04/2007 08:43:38,04/04/2007 10:11:58,5300,88.333336,1.4722222,8,10
5668,5668,181,582,38941,61,24.738696917631174,04/04/2007 05:36:44,04/04/2007 06:13:45,2221,37.016666,0.61694443,5,6
5669,5669,182,583,38941,37,24.16583771405384,04/04/2007 10:33:04,04/04/2007 10:57:10,1446,24.1,0.40166667,10,10
