id,Name,Cluster 
1654,1654,class 1
1655,1655,
1656,1656,
1657,1657,
1658,1658,
1659,1659,
1660,1660,
1661,1661,
1662,1662,
1663,1663,
1664,1664,class 1
1665,1665,class 1
1666,1666,class 1
1667,1667,class 1
1668,1668,class 1
1669,1669,class 1
1670,1670,class 1
1671,1671,class 1
1672,1672,class 1
1673,1673,class 1
1674,1674,
1675,1675,class 1
1676,1676,class 1
1677,1677,class 1
1678,1678,class 3
1679,1679,
1680,1680,
1681,1681,class 1
1682,1682,
1683,1683,
1684,1684,
1685,1685,
1686,1686,
1687,1687,
1688,1688,class 1
1689,1689,
1690,1690,
1691,1691,
1692,1692,
1693,1693,
1694,1694,class 1
1695,1695,class 1
1696,1696,class 1
1697,1697,
1698,1698,
1699,1699,class 6
1700,1700,class 1
1701,1701,class 1
1702,1702,
1703,1703,class 1
1704,1704,
1705,1705,class 1
1706,1706,
1707,1707,
1708,1708,class 1
1709,1709,class 1
1710,1710,class 1
1711,1711,
1712,1712,
1713,1713,
1714,1714,
1715,1715,class 1
1716,1716,class 1
1717,1717,class 1
1718,1718,class 1
1719,1719,class 3
1720,1720,class 1
1721,1721,class 1
1722,1722,
1723,1723,
1724,1724,class 1
1725,1725,class 1
1726,1726,
1727,1727,
1728,1728,
1729,1729,
1730,1730,
1731,1731,
1732,1732,class 1
1733,1733,class 1
1734,1734,
1735,1735,class 1
1736,1736,class 1
1737,1737,
1738,1738,
1739,1739,
1740,1740,class 1
1741,1741,
1742,1742,class 4
1743,1743,class 1
1744,1744,class 1
1745,1745,class 1
1746,1746,class 1
1747,1747,class 1
1748,1748,class 1
1749,1749,
1750,1750,class 1
1751,1751,
1752,1752,class 4
1753,1753,class 4
1754,1754,
1755,1755,
1756,1756,class 1
1757,1757,
1758,1758,
1759,1759,class 1
1760,1760,
1761,1761,class 1
1762,1762,class 1
1763,1763,class 1
1764,1764,class 1
1765,1765,class 1
1766,1766,class 1
1767,1767,
1768,1768,class 1
1769,1769,class 1
1770,1770,
1771,1771,class 1
1772,1772,class 1
1773,1773,class 1
1774,1774,class 1
1775,1775,class 1
1776,1776,class 1
1777,1777,class 1
1778,1778,class 1
1779,1779,class 1
1780,1780,class 1
1781,1781,class 3
1782,1782,
1783,1783,class 1
1784,1784,
1785,1785,class 1
1786,1786,
1787,1787,class 1
1788,1788,class 3
1789,1789,
1790,1790,
1791,1791,class 1
1792,1792,
1793,1793,class 3
1794,1794,class 5
1795,1795,class 1
1796,1796,class 1
1797,1797,class 1
1798,1798,
1799,1799,class 1
1800,1800,class 1
1801,1801,
1802,1802,class 1
1803,1803,class 1
1804,1804,class 1
1805,1805,class 1
1806,1806,class 1
1807,1807,
1808,1808,class 1
1809,1809,class 1
1810,1810,class 1
1811,1811,class 1
1812,1812,
1813,1813,class 1
1814,1814,
1815,1815,class 1
1816,1816,
1817,1817,
1818,1818,
1819,1819,
1820,1820,
1821,1821,
1822,1822,
1823,1823,
1824,1824,
1825,1825,
1826,1826,
1827,1827,
1828,1828,
1829,1829,
1830,1830,class 4
1831,1831,class 4
1832,1832,class 4
1833,1833,class 1
1834,1834,class 1
1835,1835,
1836,1836,
1837,1837,
1838,1838,
1839,1839,
